id, folder, n_r, n_theta, aspect_ratio, shell_depth, chebyshev, rotation, magnetism, viscous_heating, ohmic_heating, Ekman_Number, Prandtl_Number, Magnetic_Prandtl_Number, Rayleigh_Number, Modified_Rayleigh_Number, no_slip_boundaries, fix_tvar_bottom, T_bottom, fix_dtdr_bottom, dTdr_bottom, fix_tvar_top, T_top, fix_dtdr_top, dTdr_top, reference_type, heating_type, poly_n, poly_Nrho, gravity_power, dimensional, hyperdiffusion, hyperdiffusion_alpha, hyperdiffusion_beta, 
  11, ksoderlu/Rayleigh-devel_20180415-BENCHMARK,       48,       64,     -1.000000000000E+00,     -1.000000000000E+00, .DEFAULT., .DEFAULT., .FALSE., .TRUE., .TRUE.,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .FALSE., .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,       -1,        0,     -1.000000015047E+30,     -1.000000015047E+30,     -1.000000015047E+30, .DEFAULT., .DEFAULT.,     -1.000000015047E+30,     -1.000000015047E+30, 
  12, ksoderlu/EnsembleTEST/run1,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
  13, ksoderlu/EnsembleTEST/run2,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
  14, ksoderlu/EnsembleTEST/run1,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
  15, ksoderlu/EnsembleTEST/run2,      192,      768,      2.000000000000E-01,      1.000000000000E+00, .true., .true., .true., .false., .false.,      3.000000000000E-04,      1.000000000000E+00,      1.000000000000E+00,      2.220000000000E+07,     -1.000000000000E+00, .false., .true.,     -1.000000015047E+30, .false.,     -1.000000015047E+30, .true.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,        1,        0,     -1.000000015047E+30,     -1.000000015047E+30,      1.000000000000E+00, .false., .false.,      1.000000000000E+00,      1.000000000000E+00, 
  16, mheimpel/rayleigh_back2,      128,      256,     -1.000000000000E+00,     -1.000000000000E+00, .false., .DEFAULT., .FALSE., .TRUE., .TRUE.,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .FALSE., .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,       -1,        0,     -1.000000015047E+30,     -1.000000015047E+30,     -1.000000015047E+30, .DEFAULT., .DEFAULT.,     -1.000000015047E+30,     -1.000000015047E+30, 
  17, mheimpel/rayleigh_back_Apr_2017,      128,      256,     -1.000000000000E+00,     -1.000000000000E+00, .false., .DEFAULT., .FALSE., .TRUE., .TRUE.,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00, .FALSE., .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30, .DEFAULT.,     -1.000000015047E+30,       -1,        0,     -1.000000015047E+30,     -1.000000015047E+30,     -1.000000015047E+30, .DEFAULT., .DEFAULT.,     -1.000000015047E+30,     -1.000000015047E+30, 
  18, mheimpel/JupNatGeo/E1n3/run1,       96,      384,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .FALSE., .TRUE., .TRUE.,      1.000000000000E-03,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.000000000000E-01, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      0.000000000000E+00,        4,        4,      2.000000000000E+00,      3.000000000000E+00,     -1.000000015047E+30, .DEFAULT., .false.,      1.000000000000E+01,      3.000000000000E+00, 
  19, mheimpel/JupNatGeo/E1n3/run2,       96,      384,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .FALSE., .TRUE., .TRUE.,      1.000000000000E-03,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      1.000000000000E-01, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      0.000000000000E+00,        4,        4,      2.000000000000E+00,      3.000000000000E+00,     -1.000000015047E+30, .DEFAULT., .false.,      1.000000000000E+01,      3.000000000000E+00, 
  20, mheimpel/JupNatGeo/E1n4/run1,      128,      512,      9.000000000000E-01,      1.000000000000E+00, .true., .true., .FALSE., .TRUE., .TRUE.,      1.000000000000E-04,      1.000000000000E+00,     -1.000000000000E+00,     -1.000000000000E+00,      8.000000000000E-02, .false., .DEFAULT.,     -1.000000015047E+30, .true.,     -1.000000000000E+00, .DEFAULT.,     -1.000000015047E+30, .true.,      3.500000000000E+01,        4,        4,      2.000000000000E+00,      3.000000000000E+00,     -1.000000015047E+30, .DEFAULT., .true.,      1.000000000000E+01,      3.000000000000E+00, 
