 folder, n_r, n_theta, aspect_ratio, shell_depth, chebyshev, rotation, magnetism, viscous_heating, ohmic_heating, Ekman_Number, Prandtl_Number, Magnetic_Prandtl_Number, Rayleigh_Number, Modified_Rayleigh_Number, no_slip_boundaries, fix_tvar_bottom, T_bottom, fix_dtdr_bottom, dTdr_bottom, fix_tvar_top, T_top, fix_dtdr_top, dTdr_top, hyperdiffusion, hyperdiffusion_alpha, hyperdiffusion_beta, 
mheimpel/Jup90/nsb/E3n6/run1,384,1152,9E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-06,1E+00,-1E+00,-1E+00,1E-01, .DEFAULT., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Uranus75/N5/E1n3/run1,256,384,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-03,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.3E+01, .true.,3E+00,3E+00, 
mheimpel/Uranus75/N5/E1n3/run2,256,384,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-03,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.3E+01, .true.,3E+00,3E+00, 
mheimpel/Uranus75/N5/E1n4/run1,384,576,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.3E+01, .true.,3E+01,3E+00, 
mheimpel/Uranus75/N5/E3n4/run1,192,384,7.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,3E-04,1E+00,-1E+00,-1E+00,1E+01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.3E+01, .true.,1E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n4/run1,384,768,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,5E-01, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,6E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n4/run2,384,768,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-04,1E+00,-1E+00,-1E+00,1E+00, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,6E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n5/run1a,384,1152,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,2E-05,1E+00,-1E+00,-1E+00,1E+00, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n5/run1b,384,1152,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1.38E-05,1E+00,-1E+00,-1E+00,1E+00, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
mheimpel/Jup95/fsb/poly_n1/E1n5/run1c,384,1152,9.5E-01,1E+00, .true., .true., .DEFAULT., .DEFAULT., .DEFAULT.,1E-05,1E+00,-1E+00,-1E+00,1E+00, .false., .DEFAULT.,-1.000000015047E+30, .true.,-1E+00, .DEFAULT.,-1.000000015047E+30, .true.,2.5E+02, .true.,9E+01,3E+00, 
