Run name , :math:`N_{r}`, :math:`N_{\theta}`, :math:`r_o / r_i`, :math:`E = \frac{\nu}{\Omega L^2}`, :math:`Pr`, :math:`Ram`, :math:`\frac{dT}{dr}|_{r=r_i}`, :math:`\frac{dT}{dr}|_{r=r_o}`, Reference type, Heating type, :math:`n_{\p}`, :math:`n_{\rho}`, :math:`n_{g}`, Hyper-diffusion, :math:`\alpha`, :math:`\beta`, Publication, 
:ref:`J95-pn1-ht1-E1n6-1a`,     1024,     1536,   9.50E-01,   1.50E-06,   1.00E+00,   5.00E-01,  -1.00E+00,   2.00E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.80E+02,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n6-1b`,     1024,     1536,   9.50E-01,   1.00E-06,   1.00E+00,   5.00E-01,  -1.00E+00,   2.00E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.80E+02,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n6-1c`,     1024,     1536,   9.50E-01,   1.00E-06,   1.00E+00,   5.00E-01,  -1.00E+00,   2.00E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.80E+02,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n6-1d`,     1024,     2304,   9.50E-01,   1.00E-06,   1.00E+00,   5.00E-01,  -1.00E+00,   2.00E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.80E+02,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n6-2`,     1024,     1536,   9.50E-01,   1.00E-06,   1.00E+00,   6.25E-01,  -1.00E+00,   1.60E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   2.40E+02,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n6-3`,     1024,     1536,   9.50E-01,   1.00E-06,   1.00E+00,   6.25E-01,  -1.00E+00,   1.60E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   2.40E+02,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n6-4`,     1024,     1536,   9.50E-01,   1.00E-06,   1.00E+00,   6.25E-01,  -1.00E+00,   1.60E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   2.40E+02,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n6-M1`,     1024,     1536,   9.50E-01,   1.00E-06,   1.00E+00,   5.00E-01,  -1.00E+00,   2.00E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.80E+02,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n6-M2`,     1024,     1536,   9.50E-01,   1.00E-06,   1.00E+00,   5.00E-01,  -1.00E+00,   2.00E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.80E+02,   3.00E+00, 
:ref:`J95-pn1-ht1-E1n6-M3`,     1024,     1536,   9.50E-01,   1.00E-06,   1.00E+00,   5.00E-01,  -1.00E+00,   2.00E+03,        3,        1,   1.00E+00,   5.00E+00,  -1.00E+30, .true.,   1.80E+02,   3.00E+00, 
